"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",104,2,150,4.17,1,0
"Entire home/apt",156,2,81,2.19,3,295
"Entire home/apt",96,30,16,0.46,1,172
"Entire home/apt",175,3,9,0.23,2,309
"Other",80,1,55,2.03,1,32
"Entire home/apt",111,2,79,1.97,8,312
"Entire home/apt",106,2,208,5.26,1,14
"Entire home/apt",80,1,218,5.42,2,331
"Entire home/apt",249,1,89,2.38,113,355
"Entire home/apt",260,2,51,1.38,1,164
"Entire home/apt",743,2,117,3.23,3,299
"Entire home/apt",191,1,96,2.42,2,134
"Entire home/apt",98,2,93,2.49,3,351
"Entire home/apt",140,30,0,0,1,50
"Entire home/apt",1552,1,9,0.29,2,304
"Entire home/apt",95,1,146,3.78,1,44
"Entire home/apt",90,1,199,5.72,1,93
"Entire home/apt",101,2,107,2.9,1,155
"Entire home/apt",75,30,0,0,1,0
"Entire home/apt",19,1,62,1.69,19,355
"Other",27,1,92,2.46,19,357
"Entire home/apt",19,1,24,0.66,19,348
"Entire home/apt",198,3,19,0.5,2,313
"Entire home/apt",120,30,1,0.03,1,31
"Entire home/apt",127,2,154,4.13,1,53
"Entire home/apt",109,30,6,0.18,4,327
"Entire home/apt",145,2,128,3.6,6,170
"Entire home/apt",254,2,56,1.57,10,258
"Entire home/apt",354,2,54,1.48,10,263
"Entire home/apt",254,2,36,0.99,10,313
"Entire home/apt",241,3,32,0.89,10,315
"Entire home/apt",241,2,35,0.99,10,318
"Entire home/apt",254,2,27,0.76,10,313
"Entire home/apt",265,30,5,0.14,1,13
"Entire home/apt",57,29,12,0.34,2,179
"Entire home/apt",112,2,63,1.86,1,0
"Entire home/apt",120,2,150,4.08,1,333
"Other",226,1,7,0.19,5,171
"Other",322,1,2,0.06,5,157
"Entire home/apt",50,30,7,0.19,4,197
"Entire home/apt",74,30,3,0.08,1,15
"Entire home/apt",135,2,11,0.47,3,0
"Entire home/apt",239,2,141,3.78,1,173
"Entire home/apt",199,2,33,1.41,1,99
"Entire home/apt",311,2,48,1.29,10,298
"Entire home/apt",120,2,26,1.7,1,147
"Entire home/apt",180,1,251,6.85,2,273
"Entire home/apt",89,2,219,5.9,2,346
"Entire home/apt",442,3,3,0.09,14,0
"Entire home/apt",122,1,341,9.29,4,229
"Entire home/apt",269,3,41,1.13,18,293
"Entire home/apt",85,2,82,2.23,1,0
"Entire home/apt",233,2,119,3.31,1,50
"Other",29,1,46,1.25,19,359
"Entire home/apt",295,1,78,2.17,113,334
"Entire home/apt",295,1,80,2.18,113,350
"Entire home/apt",249,1,93,2.58,113,341
"Entire home/apt",160,2,186,5.27,1,300
"Entire home/apt",104,2,109,3.41,1,228
"Entire home/apt",350,3,63,1.76,1,190
"Entire home/apt",197,3,139,3.84,1,0
"Other",110,2,57,1.64,1,346
"Entire home/apt",89,2,5,0.21,1,0
"Entire home/apt",138,1,77,2.15,1,343
"Entire home/apt",120,3,176,5.03,1,105
"Entire home/apt",192,2,0,0,51,187
"Entire home/apt",168,2,33,0.94,51,343
"Entire home/apt",212,2,145,4.03,1,305
"Entire home/apt",135,2,86,2.38,1,342
"Entire home/apt",158,1,225,6.26,8,160
"Other",330,1,1,0.03,7,306
"Other",364,2,2,0.07,7,308
"Other",341,1,1,0.03,7,300
"Other",330,2,0,0,7,300
"Entire home/apt",94,1,237,6.62,1,79
"Other",110,1,28,0.79,3,323
"Entire home/apt",177,2,162,4.6,6,277
"Other",296,1,3,0.09,5,160
"Entire home/apt",105,2,59,1.66,1,361
"Other",235,1,0,0,5,144
"Entire home/apt",266,3,119,3.42,3,146
"Other",150,1,35,1.3,1,86
"Entire home/apt",144,2,25,0.72,6,0
"Entire home/apt",119,3,35,0.99,1,50
"Entire home/apt",80,1,34,0.96,1,78
"Entire home/apt",496,1,205,5.85,7,127
"Entire home/apt",108,1,59,1.7,4,235
"Entire home/apt",148,1,216,6.21,2,128
"Entire home/apt",104,2,63,1.81,2,276
"Entire home/apt",99,1,175,5.07,2,345
"Other",94,30,96,2.76,5,90
"Other",48,30,83,2.38,5,90
"Entire home/apt",113,30,10,0.29,3,263
"Other",98,2,81,2.38,2,26
"Other",42,30,82,2.36,5,88
"Other",300,2,5,0.15,1,0
"Entire home/apt",121,2,92,2.7,1,60
"Entire home/apt",119,2,106,3.24,2,77
"Entire home/apt",38,2,31,0.91,19,170
"Entire home/apt",112,2,147,4.46,8,216
"Entire home/apt",203,2,55,1.61,11,339
"Entire home/apt",106,1,414,12.02,1,246
"Entire home/apt",89,1,34,1,2,12
"Entire home/apt",139,2,26,0.81,51,92
"Entire home/apt",110,2,121,3.55,1,61
"Entire home/apt",98,2,33,1.01,1,168
"Entire home/apt",174,2,128,4.64,1,66
"Entire home/apt",120,1,247,7.19,1,323
"Entire home/apt",154,2,47,1.39,2,132
"Entire home/apt",408,3,10,0.4,18,264
"Entire home/apt",145,2,33,1,1,230
"Entire home/apt",249,1,69,2.05,113,342
"Entire home/apt",72,2,95,2.81,1,0
"Entire home/apt",107,1,46,2.12,1,69
"Entire home/apt",323,2,35,1.1,2,133
"Entire home/apt",282,3,73,2.2,1,317
"Entire home/apt",139,2,12,0.36,2,0
"Entire home/apt",109,1,126,3.72,1,164
"Entire home/apt",14,1,0,0,1,90
"Entire home/apt",87,2,10,2.59,1,81
"Entire home/apt",82,1,78,2.35,1,157
"Entire home/apt",243,3,0,0,1,126
"Entire home/apt",179,3,57,1.74,2,219
"Entire home/apt",250,1,32,0.97,1,89
"Entire home/apt",375,3,102,3.38,8,140
"Entire home/apt",120,2,69,2.21,1,165
"Entire home/apt",81,1,197,5.95,2,0
"Other",135,1,252,7.64,1,157
"Entire home/apt",112,1,173,5.29,1,353
"Entire home/apt",156,2,121,3.67,1,33
"Entire home/apt",145,2,138,4.51,1,350
"Entire home/apt",155,2,102,3.28,1,307
"Entire home/apt",329,2,51,2.27,1,87
"Other",70,30,41,1.25,1,180
"Entire home/apt",295,1,33,1.05,113,331
"Entire home/apt",88,2,129,3.95,2,362
"Entire home/apt",135,2,39,1.23,3,328
"Entire home/apt",79,1,58,1.81,1,164
"Entire home/apt",266,3,14,0.51,1,311
"Entire home/apt",85,2,38,1.23,18,0
"Entire home/apt",50,2,3,0.09,1,0
"Entire home/apt",196,2,146,4.46,1,127
"Entire home/apt",48,1,11,0.38,1,0
"Other",100,2,90,2.94,1,63
"Entire home/apt",165,30,0,0,2,0
"Entire home/apt",40,30,0,0,2,14
"Entire home/apt",129,2,163,5.04,2,274
"Entire home/apt",248,2,156,4.78,2,220
"Entire home/apt",357,3,62,2.1,1,235
"Other",140,1,38,1.16,1,0
"Entire home/apt",117,2,80,2.46,11,352
"Entire home/apt",99,2,46,1.47,1,9
"Entire home/apt",141,1,250,7.68,3,156
"Entire home/apt",173,3,94,2.88,1,97
"Entire home/apt",100,1,165,5.05,4,230
"Entire home/apt",124,2,126,4.03,1,155
"Entire home/apt",76,1,29,0.9,1,0
"Entire home/apt",133,2,101,3.23,1,118
"Entire home/apt",164,2,73,2.35,1,142
"Entire home/apt",126,1,70,2.33,2,176
"Entire home/apt",185,3,101,3.24,1,158
"Entire home/apt",149,1,218,6.86,2,309
"Other",29,1,65,2.01,19,89
"Entire home/apt",244,2,137,4.33,6,47
"Entire home/apt",166,2,122,3.84,10,264
"Entire home/apt",102,2,127,4.09,1,21
"Entire home/apt",189,3,87,2.76,1,140
"Entire home/apt",295,1,29,1.19,113,350
"Entire home/apt",134,3,27,0.86,1,52
"Entire home/apt",55,30,1,0.03,6,27
"Entire home/apt",69,1,115,3.62,1,135
"Entire home/apt",115,1,200,6.26,8,313
"Entire home/apt",77,30,1,0.06,2,252
"Entire home/apt",96,1,191,6,4,239
"Other",88,2,49,1.57,2,1
"Entire home/apt",115,2,20,1.56,1,205
"Entire home/apt",166,1,267,8.73,4,285
"Other",70,2,3,0.33,1,87
"Entire home/apt",100,30,2,0.16,1,64
"Entire home/apt",129,2,196,6.26,1,196
"Entire home/apt",295,1,32,1.13,113,351
"Entire home/apt",79,1,315,10.06,9,365
"Entire home/apt",171,2,49,1.58,18,208
"Entire home/apt",338,2,0,0,8,200
"Entire home/apt",100,28,2,0.72,1,57
"Entire home/apt",120,2,103,3.32,1,74
"Entire home/apt",296,2,60,2.28,1,169
"Entire home/apt",59,1,101,3.55,1,59
"Entire home/apt",297,3,73,2.76,2,175
"Entire home/apt",110,2,187,6.06,2,312
"Entire home/apt",128,1,201,6.46,2,343
"Entire home/apt",295,1,36,1.22,113,315
"Entire home/apt",295,1,54,1.8,113,327
"Entire home/apt",125,2,35,1.25,1,328
"Entire home/apt",314,4,51,1.7,1,0
"Entire home/apt",322,2,158,5.2,2,349
"Entire home/apt",321,2,37,3.04,2,338
"Entire home/apt",180,30,6,0.21,1,0
"Other",65,1,112,3.81,1,72
"Entire home/apt",300,2,9,0.3,2,88
"Entire home/apt",224,2,17,0.59,1,14
"Entire home/apt",79,14,6,0.21,1,270
"Entire home/apt",91,2,87,2.86,2,362
"Entire home/apt",295,1,44,2.13,113,332
"Entire home/apt",295,1,56,1.95,113,347
"Entire home/apt",123,1,28,0.94,113,280
"Entire home/apt",125,3,37,1.63,1,250
"Entire home/apt",295,1,44,1.46,113,346
"Entire home/apt",351,3,106,3.52,8,125
"Entire home/apt",129,2,108,3.56,1,53
"Entire home/apt",272,2,94,3.14,8,166
"Entire home/apt",174,2,31,1.03,1,365
"Entire home/apt",286,5,0,0,1,0
"Entire home/apt",92,1,397,13.07,9,359
"Entire home/apt",283,2,93,3.09,8,169
"Entire home/apt",199,2,34,1.31,1,30
"Entire home/apt",366,3,93,3.13,8,148
"Entire home/apt",295,1,55,1.88,113,261
"Other",189,1,2,0.09,7,320
"Entire home/apt",402,1,13,0.5,51,321
"Entire home/apt",195,2,95,3.19,1,293
"Entire home/apt",92,1,310,10.38,1,292
"Entire home/apt",125,2,99,3.74,1,60
"Entire home/apt",84,30,2,0.21,1,120
"Entire home/apt",94,1,216,7.27,2,340
"Entire home/apt",305,1,19,0.7,51,331
"Entire home/apt",80,60,0,0,3,136
"Entire home/apt",162,3,47,1.69,1,0
"Entire home/apt",80,1,69,2.38,1,253
"Other",107,2,76,2.61,1,78
"Entire home/apt",150,1,129,4.45,1,336
"Entire home/apt",234,5,38,1.37,1,160
"Entire home/apt",190,2,265,9.3,1,237
"Entire home/apt",62,2,223,7.95,2,91
"Entire home/apt",105,3,108,3.76,2,38
"Entire home/apt",260,2,84,3.05,8,168
"Entire home/apt",240,1,88,3.12,6,312
"Entire home/apt",280,1,51,1.79,1,168
"Entire home/apt",85,30,6,0.35,1,2
"Entire home/apt",372,3,85,3.24,8,140
"Entire home/apt",89,2,30,1.05,1,124
"Entire home/apt",101,2,72,2.53,5,307
"Other",102,3,39,3.34,1,119
"Entire home/apt",170,2,44,2.12,1,135
"Entire home/apt",295,1,43,1.53,113,338
"Entire home/apt",137,2,114,4.48,2,305
"Entire home/apt",135,2,5,0.19,1,0
"Entire home/apt",308,2,100,3.57,1,218
"Entire home/apt",106,1,56,2.18,2,323
"Entire home/apt",200,1,128,4.6,6,173
"Entire home/apt",769,2,6,0.29,4,285
"Entire home/apt",127,2,49,1.89,1,115
"Entire home/apt",201,2,148,5.28,3,141
"Entire home/apt",295,1,35,1.23,113,351
"Entire home/apt",295,1,35,1.23,113,311
"Entire home/apt",177,2,19,0.75,18,48
"Entire home/apt",124,2,108,3.82,2,75
"Entire home/apt",257,2,195,6.9,1,68
"Entire home/apt",90,1,33,1.16,2,358
"Entire home/apt",117,2,156,5.81,1,66
"Entire home/apt",48,28,15,0.56,2,243
"Entire home/apt",245,1,0,0,51,2
"Entire home/apt",136,2,0,0,1,0
"Entire home/apt",272,3,58,2.15,1,313
"Entire home/apt",150,1,64,2.36,1,52
"Entire home/apt",117,2,88,3.26,1,352
"Entire home/apt",70,28,3,0.16,1,0
"Entire home/apt",318,2,0,0,2,0
"Entire home/apt",161,2,130,4.86,3,337
"Entire home/apt",89,1,163,6.24,1,219
"Entire home/apt",266,2,80,2.96,8,157
"Entire home/apt",185,1,29,1.14,8,189
"Entire home/apt",196,1,19,0.73,8,192
"Entire home/apt",187,1,35,1.3,8,155
"Entire home/apt",540,1,12,0.53,8,354
"Entire home/apt",187,1,21,0.85,8,195
"Entire home/apt",196,1,36,1.34,8,173
"Entire home/apt",540,1,24,0.99,8,319
"Entire home/apt",146,2,21,1.04,1,343
"Entire home/apt",195,1,65,2.37,113,313
"Entire home/apt",166,1,172,6.19,15,322
"Entire home/apt",91,1,5,5,1,133
"Entire home/apt",89,3,239,8.6,9,365
"Entire home/apt",103,1,52,3.01,1,176
"Other",1650,2,1,0.07,7,83
"Entire home/apt",1195,1,5,0.37,51,320
"Entire home/apt",64,3,262,9.41,9,365
"Entire home/apt",130,3,2,0.08,5,262
"Entire home/apt",125,3,11,0.45,5,361
"Entire home/apt",191,2,73,2.74,18,319
"Entire home/apt",58,30,1,0.04,6,4
"Entire home/apt",191,1,48,1.75,113,327
"Entire home/apt",103,1,47,1.71,113,354
"Entire home/apt",448,1,23,0.88,34,301
"Entire home/apt",122,1,10,0.5,34,227
"Entire home/apt",193,1,26,1.68,34,339
"Entire home/apt",157,2,76,2.94,2,174
"Entire home/apt",106,1,177,6.42,4,361
"Entire home/apt",201,2,121,4.43,10,322
"Entire home/apt",79,3,226,8.3,4,361
"Entire home/apt",75,30,1,0.05,3,159
"Entire home/apt",249,1,70,2.61,113,352
"Entire home/apt",126,2,115,4.26,2,123
"Entire home/apt",82,1,147,5.38,1,60
"Entire home/apt",285,1,19,0.74,51,303
"Entire home/apt",85,2,22,0.83,2,0
"Entire home/apt",76,3,265,9.68,9,365
"Entire home/apt",117,1,119,4.36,1,332
"Entire home/apt",152,1,92,4.08,1,100
"Entire home/apt",73,3,192,7.05,4,359
"Entire home/apt",352,3,56,2.05,18,330
"Entire home/apt",88,1,53,2.11,1,212
"Entire home/apt",102,2,50,1.93,2,169
"Entire home/apt",81,3,145,5.36,5,365
"Other",92,3,61,2.28,1,75
"Entire home/apt",799,3,71,2.66,5,365
"Entire home/apt",175,1,98,3.78,3,155
"Entire home/apt",149,3,33,1.23,1,342
"Entire home/apt",210,31,31,1.14,1,168
"Entire home/apt",140,1,6,0.39,1,23
"Other",74,1,104,3.84,1,73
"Entire home/apt",419,2,77,2.88,3,332
"Entire home/apt",185,1,17,0.66,51,326
"Entire home/apt",105,1,2,0.23,51,91
"Entire home/apt",363,1,11,0.46,51,291
"Entire home/apt",99,2,86,3.32,1,255
"Entire home/apt",100,2,13,0.53,1,126
"Entire home/apt",200,2,35,1.52,1,24
"Entire home/apt",795,2,14,0.71,9,62
"Entire home/apt",349,1,217,8.09,2,83
"Entire home/apt",125,3,10,0.39,5,229
"Entire home/apt",258,2,147,5.68,1,80
"Entire home/apt",125,2,32,1.21,1,89
"Entire home/apt",93,1,215,8.05,4,365
"Entire home/apt",296,2,101,4.32,2,95
"Entire home/apt",150,2,67,2.59,1,166
"Entire home/apt",149,30,3,0.13,1,0
"Entire home/apt",210,1,6,0.24,51,348
"Entire home/apt",314,2,67,2.58,2,185
"Entire home/apt",77,1,303,11.43,4,364
"Entire home/apt",300,1,0,0,1,352
"Entire home/apt",95,2,70,3.19,1,4
"Entire home/apt",73,1,197,7.45,4,365
"Entire home/apt",120,2,93,3.55,1,148
"Entire home/apt",93,1,311,11.78,4,363
"Entire home/apt",295,1,37,1.42,113,339
"Entire home/apt",58,30,5,0.25,6,2
"Entire home/apt",144,2,45,1.76,1,143
"Entire home/apt",639,8,3,0.34,1,301
"Entire home/apt",235,2,26,1.28,1,263
"Entire home/apt",115,2,28,1.19,1,0
"Entire home/apt",280,3,84,3.4,1,229
"Entire home/apt",119,2,30,1.27,1,71
"Entire home/apt",96,2,31,1.28,18,345
"Entire home/apt",101,2,56,2.22,4,357
"Entire home/apt",541,3,39,1.55,2,3
"Entire home/apt",160,1,59,2.28,113,304
"Entire home/apt",91,2,31,1.22,4,284
"Entire home/apt",126,2,46,1.97,2,350
"Entire home/apt",1495,2,0,0,6,0
"Other",575,2,4,0.31,9,276
"Entire home/apt",70,30,2,0.09,2,0
"Other",89,2,74,2.88,1,14
"Entire home/apt",539,3,23,0.98,18,296
"Entire home/apt",225,2,46,1.86,1,150
"Entire home/apt",362,2,49,1.98,1,270
"Entire home/apt",67,1,169,6.82,1,144
"Entire home/apt",229,2,106,4.37,4,228
"Entire home/apt",65,3,17,0.68,2,57
"Entire home/apt",80,29,9,0.4,3,238
"Entire home/apt",295,1,42,1.65,113,319
"Entire home/apt",154,1,181,7.38,9,148
"Entire home/apt",225,2,58,2.32,1,262
"Entire home/apt",616,2,1,0.05,3,0
"Entire home/apt",158,2,86,3.59,1,142
"Entire home/apt",91,1,63,2.54,3,0
"Entire home/apt",345,2,0,0,3,0
"Entire home/apt",141,2,111,4.48,1,147
"Entire home/apt",200,2,14,0.59,1,138
"Other",41,28,0,0,2,0
"Entire home/apt",225,2,26,1.04,1,108
"Entire home/apt",215,2,47,1.88,1,133
"Entire home/apt",130,2,10,0.4,1,90
"Entire home/apt",125,30,8,0.33,1,95
"Entire home/apt",103,2,68,2.91,1,59
"Entire home/apt",80,25,9,0.5,1,260
"Entire home/apt",142,3,10,0.44,1,1
"Entire home/apt",68,1,52,2.08,1,0
"Entire home/apt",155,3,22,0.93,2,359
"Entire home/apt",62,1,255,10.17,1,27
"Entire home/apt",95,1,166,7.23,5,254
"Entire home/apt",67,2,62,2.48,1,0
"Entire home/apt",129,3,86,3.99,1,45
"Entire home/apt",295,1,25,1.05,113,347
"Entire home/apt",123,2,29,1.16,2,149
"Entire home/apt",202,2,58,2.34,1,285
"Entire home/apt",200,30,4,0.17,2,180
"Entire home/apt",142,2,76,3.19,1,337
"Entire home/apt",149,2,39,1.65,1,112
"Entire home/apt",225,3,8,0.34,1,0
"Entire home/apt",98,2,54,2.27,1,363
"Entire home/apt",158,1,146,5.95,1,306
"Entire home/apt",150,1,182,7.42,1,187
"Entire home/apt",70,30,14,0.61,1,228
"Entire home/apt",172,1,165,6.72,8,350
"Entire home/apt",131,1,21,1.06,34,337
"Entire home/apt",187,1,17,0.73,113,348
"Entire home/apt",114,2,79,3.24,9,145
"Entire home/apt",325,2,33,1.36,1,63
"Entire home/apt",230,1,32,1.33,51,335
"Entire home/apt",461,3,27,1.34,1,137
"Entire home/apt",95,3,40,1.66,2,351
"Entire home/apt",120,30,9,0.42,2,249
"Other",70,1,185,7.51,1,169
"Entire home/apt",393,2,80,3.72,1,112
"Other",99,1,290,12.24,1,44
"Entire home/apt",115,30,11,0.46,1,223
"Entire home/apt",222,2,35,1.44,8,321
"Entire home/apt",310,3,43,1.81,1,287
"Entire home/apt",249,1,60,2.54,113,348
"Entire home/apt",249,1,50,2.05,113,348
"Entire home/apt",135,2,65,3,1,199
"Entire home/apt",171,2,147,6.17,1,358
"Entire home/apt",269,2,75,3.14,3,241
"Other",77,1,8,0.35,2,89
"Entire home/apt",161,1,89,3.74,1,90
"Entire home/apt",111,30,69,2.9,2,290
"Entire home/apt",210,2,54,2.24,11,334
"Entire home/apt",134,2,26,1.14,1,317
"Entire home/apt",69,30,2,0.17,1,122
"Entire home/apt",121,1,9,0.38,4,72
"Other",123,2,3,0.13,4,342
"Entire home/apt",379,1,13,0.62,34,315
"Other",56,1,105,4.63,2,75
"Entire home/apt",163,2,69,2.94,2,254
"Entire home/apt",119,2,55,2.59,1,359
"Entire home/apt",150,2,32,1.47,2,50
"Entire home/apt",151,1,43,1.88,2,47
"Entire home/apt",107,2,14,0.62,2,179
"Entire home/apt",225,29,8,0.37,1,100
"Entire home/apt",181,2,59,2.58,1,313
"Entire home/apt",130,2,71,3.23,1,78
"Other",65,2,44,1.9,1,170
"Other",62,2,52,2.23,1,310
"Entire home/apt",251,1,30,1.28,1,227
"Entire home/apt",225,28,3,0.15,1,229
"Entire home/apt",185,2,16,0.69,1,12
"Entire home/apt",123,2,35,1.5,2,167
"Entire home/apt",214,2,31,1.37,1,59
"Entire home/apt",103,1,154,6.59,1,286
"Other",59,1,20,0.85,2,90
"Entire home/apt",315,3,24,1.15,1,0
"Entire home/apt",92,2,178,7.93,2,323
"Other",45,30,48,2.05,3,294
"Other",87,1,103,4.41,3,174
"Entire home/apt",92,1,158,6.97,5,150
"Entire home/apt",295,4,99,4.24,1,121
"Other",50,1,0,0,1,345
"Entire home/apt",226,2,26,1.14,1,155
"Entire home/apt",91,2,164,7.39,2,338
"Entire home/apt",115,28,3,0.16,1,273
"Entire home/apt",249,1,21,0.91,113,347
"Entire home/apt",259,1,67,3.07,1,135
"Entire home/apt",295,1,37,1.65,113,299
"Entire home/apt",126,1,96,4.15,2,146
"Entire home/apt",119,2,20,0.92,1,179
"Entire home/apt",195,1,43,1.87,113,333
"Other",82,2,49,4.15,1,300
"Other",80,2,19,0.92,1,32
"Entire home/apt",187,1,32,1.41,113,360
"Entire home/apt",187,1,36,1.66,113,338
"Entire home/apt",158,1,73,3.29,2,329
"Entire home/apt",109,2,111,5.11,1,58
"Entire home/apt",89,3,45,2.07,1,77
"Entire home/apt",295,1,23,1.09,113,306
"Other",150,2,49,3.08,1,221
"Entire home/apt",109,2,73,3.36,1,149
"Entire home/apt",144,2,26,1.16,1,0
"Entire home/apt",122,3,57,2.54,1,146
"Entire home/apt",199,2,103,4.61,4,253
"Entire home/apt",118,2,54,2.57,1,4
"Entire home/apt",135,1,2,0.1,1,254
"Entire home/apt",140,2,18,0.81,1,357
"Entire home/apt",368,2,9,0.45,3,12
"Other",70,1,7,0.37,1,0
"Entire home/apt",202,2,42,1.93,3,149
"Entire home/apt",114,1,93,4.19,1,352
"Entire home/apt",120,1,172,8.27,2,352
"Entire home/apt",175,3,43,1.98,2,64
"Entire home/apt",93,1,118,5.37,1,341
"Entire home/apt",75,1,45,2.19,1,175
"Entire home/apt",240,2,31,2.26,1,158
"Entire home/apt",218,2,154,7.1,2,351
"Entire home/apt",500,1,26,1.43,1,261
"Entire home/apt",125,2,87,4.01,1,157
"Entire home/apt",158,2,26,1.24,43,352
"Entire home/apt",640,1,41,1.86,5,312
"Other",893,1,4,0.34,6,246
"Entire home/apt",115,2,4,0.19,3,13
"Other",1033,1,0,0,6,310
"Other",596,1,3,0.16,6,258
"Other",830,1,2,0.1,6,288
"Other",501,1,19,0.91,6,220
"Other",60,3,49,2.44,1,314
"Entire home/apt",295,3,3,1.36,1,79
"Entire home/apt",271,2,59,2.72,1,290
"Entire home/apt",295,1,37,1.84,113,351
"Entire home/apt",295,1,21,0.97,113,327
"Entire home/apt",139,1,102,4.8,2,336
"Entire home/apt",87,2,44,2.09,1,353
"Entire home/apt",302,2,45,2.19,2,253
"Entire home/apt",92,2,56,2.72,1,157
"Entire home/apt",295,1,31,1.53,113,236
"Entire home/apt",93,1,140,6.87,2,161
"Entire home/apt",232,2,33,1.55,1,0
"Entire home/apt",77,2,7,0.49,3,260
"Entire home/apt",146,2,130,7.94,1,217
"Entire home/apt",236,3,47,2.29,1,301
"Entire home/apt",229,1,207,10.21,1,290
"Entire home/apt",80,1,41,1.99,113,326
"Entire home/apt",62,1,43,2.09,113,332
"Entire home/apt",159,1,23,1.11,113,346
"Entire home/apt",150,30,7,0.43,1,148
"Entire home/apt",418,3,54,2.6,1,6
"Entire home/apt",252,2,31,1.5,2,326
"Entire home/apt",157,2,83,5.46,1,296
"Entire home/apt",144,2,84,3.95,9,218
"Other",59,1,30,1.41,1,0
"Entire home/apt",325,4,55,2.61,3,229
"Entire home/apt",67,30,10,0.51,3,73
"Entire home/apt",97,2,74,3.64,3,176
"Entire home/apt",121,5,15,0.74,1,316
"Other",72,2,16,0.81,3,157
"Other",69,2,8,0.4,3,118
"Entire home/apt",120,28,10,0.65,2,288
"Entire home/apt",38,2,7,0.34,19,171
"Entire home/apt",90,2,32,2.21,1,175
"Entire home/apt",211,2,118,6.39,4,277
"Entire home/apt",114,2,170,8.08,2,2
"Entire home/apt",470,3,33,1.66,43,319
"Entire home/apt",225,2,67,3.25,3,261
"Entire home/apt",107,30,2,0.12,2,315
"Entire home/apt",71,1,59,2.85,3,331
"Entire home/apt",225,2,54,2.63,3,172
"Entire home/apt",62,1,16,0.79,113,339
"Entire home/apt",44,1,47,2.31,113,292
"Entire home/apt",195,1,47,2.28,113,344
"Entire home/apt",175,30,8,0.41,2,77
"Entire home/apt",185,2,39,2.12,1,329
"Entire home/apt",200,2,1,0.05,1,0
"Entire home/apt",71,1,106,5.55,7,257
"Entire home/apt",79,1,92,4.52,7,0
"Entire home/apt",135,2,4,0.2,1,180
"Entire home/apt",119,2,53,2.58,2,337
"Entire home/apt",169,2,40,1.94,1,58
"Other",121,1,6,0.29,2,0
"Entire home/apt",168,2,78,3.88,1,339
"Entire home/apt",78,2,40,2.14,1,0
"Entire home/apt",285,2,20,1.36,1,334
"Entire home/apt",109,14,12,0.59,1,0
"Other",72,2,84,4.34,3,129
"Entire home/apt",230,2,46,2.29,11,284
"Entire home/apt",62,1,38,1.91,113,347
"Entire home/apt",55,1,91,4.68,1,30
"Entire home/apt",376,2,10,0.5,2,365
"Entire home/apt",100,30,0,0,1,0
"Other",344,2,26,1.41,1,54
"Entire home/apt",220,29,0,0,1,236
"Entire home/apt",170,24,13,0.71,1,232
"Entire home/apt",183,2,23,1.14,1,199
"Entire home/apt",136,2,47,2.54,1,263
"Entire home/apt",257,3,44,2.73,1,295
"Entire home/apt",102,2,3,0.15,2,0
"Entire home/apt",295,3,35,1.78,1,57
"Entire home/apt",228,1,63,3.32,3,229
"Entire home/apt",155,2,90,4.64,1,179
"Entire home/apt",105,28,5,0.32,1,32
"Other",27,1,30,1.49,19,354
"Entire home/apt",120,1,49,2.66,2,163
"Entire home/apt",198,30,6,0.36,1,261
"Entire home/apt",262,3,61,3.41,7,114
"Entire home/apt",126,2,51,2.63,1,41
"Entire home/apt",122,2,64,3.3,1,170
"Entire home/apt",163,2,77,4.17,1,317
"Entire home/apt",294,2,97,5.21,3,128
"Other",56,3,7,0.36,1,346
"Entire home/apt",21,30,5,0.31,2,332
"Entire home/apt",120,2,27,1.39,1,345
"Entire home/apt",126,3,11,0.57,1,261
"Entire home/apt",453,150,5,0.34,3,12
"Entire home/apt",250,2,12,0.86,1,337
"Other",92,2,11,0.57,1,358
"Entire home/apt",111,45,27,1.44,1,223
"Entire home/apt",171,1,1,0.05,4,72
"Entire home/apt",55,1,50,2.61,1,0
"Entire home/apt",96,1,23,1.89,1,362
"Entire home/apt",359,3,9,0.46,43,352
"Entire home/apt",267,1,65,3.38,15,327
"Entire home/apt",230,2,43,2.2,43,363
"Entire home/apt",799,7,1,0.07,1,64
"Entire home/apt",633,3,36,1.9,2,282
"Entire home/apt",267,2,24,1.24,1,167
"Entire home/apt",300,3,18,0.94,1,165
"Entire home/apt",120,28,4,0.27,2,0
"Other",74,2,66,3.48,1,344
"Entire home/apt",58,2,38,2.01,1,78
"Entire home/apt",295,1,64,3.37,113,333
"Entire home/apt",415,1,37,1.9,5,300
"Entire home/apt",112,2,105,6.58,1,88
"Entire home/apt",129,2,87,4.72,2,48
"Entire home/apt",174,2,76,3.97,9,173
"Entire home/apt",119,1,127,6.55,4,288
"Entire home/apt",168,1,132,6.89,2,266
"Entire home/apt",163,90,4,0.24,3,120
"Entire home/apt",171,2,84,4.62,1,110
"Entire home/apt",136,2,21,1.28,1,105
"Entire home/apt",60,30,4,0.29,1,102
"Entire home/apt",347,3,6,0.32,1,111
"Entire home/apt",99,1,105,5.47,2,90
"Other",109,1,39,2.34,1,177
"Entire home/apt",534,30,0,0,1,125
"Entire home/apt",457,1,80,4.22,15,271
"Entire home/apt",127,24,8,0.48,4,79
