"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",100,30,25,0.29,1,93
"Entire home/apt",306,3,23,0.27,1,318
"Other",76,3,222,2.89,1,15
"Other",48,2,118,1.35,3,0
"Entire home/apt",327,3,110,1.3,1,301
"Entire home/apt",425,2,99,1.15,1,146
"Entire home/apt",143,1,616,7.18,1,316
"Entire home/apt",112,2,505,5.81,8,191
"Other",69,2,69,1.23,2,189
"Other",40,30,47,0.54,2,0
"Entire home/apt",212,1,562,6.59,6,179
"Other",119,2,11,0.13,1,177
"Other",72,1,125,1.73,1,91
"Entire home/apt",116,2,294,3.45,1,160
"Entire home/apt",200,5,23,0.27,1,0
"Entire home/apt",54,30,163,1.92,1,80
"Entire home/apt",102,2,283,3.29,1,84
"Entire home/apt",96,3,273,3.36,1,244
"Entire home/apt",220,2,257,2.99,2,344
"Entire home/apt",135,2,275,3.52,1,160
"Entire home/apt",109,2,111,1.34,1,8
"Entire home/apt",70,2,303,3.51,3,339
"Entire home/apt",46,30,155,1.81,2,105
"Other",28,1,97,1.12,7,365
"Entire home/apt",126,1,638,7.53,4,256
"Entire home/apt",162,3,137,1.61,2,157
"Entire home/apt",112,3,256,3.05,1,152
"Entire home/apt",145,3,62,0.73,1,0
"Entire home/apt",133,1,648,7.62,3,79
"Other",80,2,64,0.75,2,0
"Entire home/apt",135,3,10,0.12,1,331
"Entire home/apt",156,2,195,2.4,1,296
"Entire home/apt",112,2,266,3.14,3,78
"Entire home/apt",96,1,160,1.89,1,360
"Entire home/apt",87,1,166,1.95,1,79
"Entire home/apt",166,2,93,1.1,1,172
"Entire home/apt",176,2,300,3.54,3,120
"Entire home/apt",40,30,111,1.31,1,93
"Entire home/apt",158,1,167,1.97,4,352
"Entire home/apt",74,30,32,0.38,2,180
"Entire home/apt",162,1,151,1.77,4,344
"Entire home/apt",93,1,274,3.3,2,18
"Entire home/apt",85,2,321,3.86,2,157
"Other",108,2,84,1,9,318
"Entire home/apt",207,2,113,1.33,1,278
"Other",72,1,412,4.86,4,0
"Entire home/apt",151,3,146,1.77,1,353
"Entire home/apt",88,2,244,3.24,1,261
"Entire home/apt",125,30,19,0.23,3,298
"Entire home/apt",125,3,189,2.24,1,0
"Entire home/apt",165,3,151,3.17,1,292
"Entire home/apt",149,30,52,0.62,1,177
"Entire home/apt",216,2,116,1.4,1,192
"Entire home/apt",151,30,28,0.34,3,0
"Entire home/apt",121,2,43,0.51,1,144
"Entire home/apt",80,30,8,0.13,2,282
"Entire home/apt",55,30,7,0.08,1,125
"Entire home/apt",119,1,647,7.72,4,255
"Entire home/apt",119,30,22,0.26,1,254
"Entire home/apt",115,2,468,5.62,1,314
"Entire home/apt",40,1,603,7.42,1,53
"Entire home/apt",104,2,213,2.62,1,345
"Entire home/apt",86,2,144,1.73,1,0
"Other",155,2,71,0.95,1,55
"Entire home/apt",175,2,215,2.6,1,139
"Entire home/apt",186,2,297,3.62,1,46
"Other",62,2,165,2,2,363
"Other",53,2,237,2.98,1,72
"Entire home/apt",190,1,455,5.57,7,200
"Entire home/apt",132,2,153,2,1,41
"Entire home/apt",271,1,322,4.3,1,155
"Entire home/apt",110,1,123,1.49,1,166
"Entire home/apt",126,2,225,2.76,1,245
"Entire home/apt",120,2,348,4.26,1,92
"Entire home/apt",160,2,475,5.78,1,293
"Entire home/apt",112,2,377,4.69,1,53
"Entire home/apt",92,3,335,4.11,1,140
"Other",114,1,178,2.37,9,278
"Entire home/apt",220,2,248,3.04,1,356
"Other",47,1,142,1.74,3,0
"Other",97,1,14,0.17,5,0
"Other",105,1,63,0.77,2,90
"Entire home/apt",275,2,15,0.18,2,277
"Entire home/apt",79,1,82,1.01,3,0
"Entire home/apt",116,2,154,1.89,2,298
"Entire home/apt",132,6,28,0.35,1,204
"Entire home/apt",109,1,271,3.34,1,0
"Entire home/apt",114,1,341,4.21,1,93
"Entire home/apt",174,30,30,0.37,2,146
"Other",59,2,141,1.74,1,117
"Entire home/apt",150,30,50,0.62,1,178
"Entire home/apt",295,2,46,0.58,1,355
"Entire home/apt",189,30,72,0.9,1,344
"Entire home/apt",264,2,143,1.78,1,139
"Entire home/apt",125,2,231,2.85,9,353
"Entire home/apt",100,1,592,7.53,1,334
"Entire home/apt",54,30,11,0.2,1,297
"Entire home/apt",82,2,305,3.77,2,5
"Entire home/apt",118,2,254,3.16,3,252
"Entire home/apt",79,28,58,0.72,1,231
"Entire home/apt",130,2,404,5.02,3,337
"Other",40,28,18,0.23,1,244
"Entire home/apt",86,1,468,5.79,1,39
"Entire home/apt",108,2,320,4.47,1,165
"Entire home/apt",137,2,414,5.16,1,338
"Other",100,7,36,0.46,1,0
"Entire home/apt",100,3,107,1.33,5,354
"Entire home/apt",127,3,53,0.67,1,324
"Entire home/apt",125,3,126,1.58,1,180
"Other",138,2,433,5.44,1,76
"Entire home/apt",139,3,123,1.54,1,0
"Entire home/apt",39,30,1,0.01,1,0
"Entire home/apt",351,3,49,0.61,1,244
"Entire home/apt",138,2,272,3.41,2,166
"Entire home/apt",144,2,211,2.66,9,349
"Entire home/apt",98,2,511,6.4,2,148
"Entire home/apt",92,2,72,1,2,23
"Other",88,3,38,0.48,4,0
"Entire home/apt",112,2,115,1.62,2,169
"Entire home/apt",105,2,150,1.89,1,233
"Entire home/apt",196,2,384,4.88,6,60
"Entire home/apt",133,2,179,2.26,1,147
"Entire home/apt",78,28,31,0.39,1,162
"Other",97,5,31,0.39,4,166
"Entire home/apt",102,2,195,2.59,1,68
"Entire home/apt",52,30,80,1.02,3,185
"Entire home/apt",289,3,99,1.57,2,314
"Entire home/apt",96,2,116,1.97,1,163
"Entire home/apt",123,2,84,1.09,1,354
"Entire home/apt",114,2,219,2.81,2,172
"Entire home/apt",253,2,319,4.09,1,310
"Other",90,2,117,1.51,1,0
"Other",80,2,111,1.48,1,331
"Entire home/apt",164,2,39,0.54,1,0
"Entire home/apt",120,30,2,0.04,1,186
"Entire home/apt",147,2,80,3.39,1,142
"Other",53,1,211,2.79,2,68
"Other",78,1,678,8.72,1,29
"Entire home/apt",193,1,346,4.49,1,153
"Entire home/apt",128,2,66,3.07,1,0
"Entire home/apt",193,2,61,1.39,4,347
"Entire home/apt",516,2,57,0.77,51,312
"Entire home/apt",145,2,36,0.48,51,323
"Entire home/apt",346,2,67,0.88,51,310
"Entire home/apt",234,2,385,4.98,10,256
"Entire home/apt",121,2,63,0.82,1,110
"Entire home/apt",132,1,275,3.57,9,345
"Other",95,1,174,2.3,1,24
"Entire home/apt",119,1,120,1.55,2,0
"Entire home/apt",94,1,639,8.35,2,319
"Entire home/apt",143,3,311,4.04,1,242
"Entire home/apt",174,2,496,6.48,2,251
"Entire home/apt",345,2,14,0.22,1,291
"Entire home/apt",85,1,423,5.53,1,147
"Entire home/apt",157,3,153,2.03,1,136
"Entire home/apt",286,1,266,3.52,1,331
"Entire home/apt",225,2,263,3.49,2,132
